,time,nux_df,anue_df,nue_df
0,0.0001,543330.8471318154,293.3389956499189,809770.3544833851
1,0.0001064911383158,560693.4396190861,302.7117688902127,835647.5304568576
2,0.0001133907718479,579150.4381400904,312.6740615646279,863156.1181626486
3,0.0001207246076965,598770.9408116721,323.26293690229795,892399.1534278962
4,0.0001285199707404,619628.4167202162,334.51777870649215,923486.2143778387
5,0.0001368059054464,641801.0058533499,346.48043627389495,956533.8473602734
6,0.0001456132840851,665371.7991302353,359.19540288117776,991665.9820790938
7,0.0001549749217563,690429.1520078703,372.7099470180075,1029014.4021155583
8,0.0001649256986538,717067.0372426005,387.074316918253,1068719.2503991332
9,0.0001755026900247,745385.3946557353,402.3419077915176,1110929.676921469
10,0.0001867453043061,775490.509129527,418.5694625889623,1155804.2340792806
11,0.0001986954299561,807495.4191316653,435.81727629633383,1203511.537428453
12,0.0002113975915241,841520.3638104857,454.14944315596347,1254231.0365356922
13,0.0002248991155437,877693.2434588993,473.63405679461164,1308153.539844074
14,0.0002392503068647,916150.103077589,494.3434890854554,1365482.125059839
15,0.0002545046360821,957035.6483595977,516.354635824828,1426432.7461452796
16,0.0002707189387603,1000503.8165201339,539.7492143580681,1491235.1607188543
17,0.000287953627195,1046718.4147324263,564.6140573803402,1560133.9213773445
18,0.0003062729155008,1095853.6334097711,591.0414467139562,1633389.1334404196
19,0.0003257450588647,1148094.9318637433,619.1294074593413,1711277.6082534876
20,0.0003464426078553,1203639.5368582678,648.9821361952042,1794093.9793008387
21,0.0003684426787367,1262697.3928935903,680.7103241583217,1882151.6660832616
22,0.0003918272407933,1325491.8498812383,714.4315438715098,1975784.4615629546
23,0.0004166834217357,1392260.670045814,750.2707909040648,2075347.5667873207
24,0.0004431038323275,1463256.89995258,788.3607469505603,2181218.9705477105
25,0.00047118691144,1538749.872487357,828.8425045976315,2293801.270298482
26,0.0005010372928221,1619026.3072553994,871.8659339319262,2413523.009195119
27,0.0005327661949516,1704391.4893266126,917.5902273222931,2540840.6213969467
28,0.0005664918354203,1795170.310516834,966.1844553196744,2676239.9478411674
29,0.0006023398713964,1891708.9390420464,1017.828217824818,2820238.68294052
30,0.0006404438678066,1994375.8885333089,1072.7123502218171,2973388.082366249
