,time,nux_df,anue_df,nue_df
0,0.0001,543331.0446874141,2506.137846940792,60739.46610678024
1,0.0001064911383158,560693.6423727513,2586.2128622271116,62680.46648168988
2,0.0001133907718479,579150.6393751813,2671.323136296983,64743.834855323075
3,0.0001207246076965,598771.1340897228,2761.784982681556,66937.30023810835
4,0.0001285199707404,619628.6114339556,2857.9345935612173,69269.08257299454
5,0.0001368059054464,641801.2003795248,2960.1292873474404,71747.92184282548
6,0.0001456132840851,665371.9996741991,3068.748773650794,74383.1127037371
7,0.0001549749217563,690429.3545289673,3184.196494852432,77184.54149593771
8,0.0001649256986538,717067.2484107821,3306.901174070745,80162.721597848
9,0.0001755026900247,745385.6098604529,3437.318551092211,83328.83301772902
10,0.0001867453043061,775490.7306164288,3575.9327455126563,86694.77327456861
11,0.0001986954299561,807495.6545512318,3723.2583041520766,90273.19296079899
12,0.0002113975915241,841520.6193581172,3879.8414772467845,94077.54523574782
13,0.0002248991155437,877693.5059781328,4046.2635953659324,98122.14923891195
14,0.0002392503068647,916150.3626165632,4223.141844384853,102422.22675035418
15,0.0002545046360821,957035.879720716,4411.131774378735,106993.97961135533
16,0.0002707189387603,1000504.0380438255,4610.9304201215655,111854.64106939924
17,0.000287953627195,1046718.5986280484,4823.277837530322,117022.55527475153
18,0.0003062729155008,1095853.8191612076,5048.9607240233845,122517.22308417058
19,0.0003257450588647,1148095.0975077974,5288.814746282431,128359.41873485503
20,0.0003464426078553,1203639.6794963332,5543.727598558546,134571.22814177794
21,0.0003684426787367,1262697.5240570495,5814.642375360579,141176.1712719446
22,0.0003918272407933,1325491.9544050554,6102.5609346203755,148199.2712666647
23,0.0004166834217357,1392260.7783812892,6408.547347495332,155667.16833224872
24,0.0004431038323275,1463256.984023841,6733.732315274286,163608.22311305063
25,0.00047118691144,1538749.9511795077,7079.3167052584995,172052.62660638645
26,0.0005010372928221,1619026.4121639126,7446.575585352191,181032.51241547972
27,0.0005327661949516,1704391.5993017438,7836.863864829014,190582.11234064278
28,0.0005664918354203,1795170.473235362,8251.619742825063,200737.87795795736
